id;image_url
10000000001;/wais-iv/picture-reasoning/10000000001.png
10000000002;/wais-iv/picture-reasoning/10000000002.png
10000000003;/wais-iv/picture-reasoning/10000000003.png
10000000004;/wais-iv/picture-reasoning/10000000004.png
10000000005;/wais-iv/picture-reasoning/10000000005.png
10000000006;/wais-iv/picture-reasoning/10000000006.png
10000000007;/wais-iv/picture-reasoning/10000000007.png
10000000008;/wais-iv/picture-reasoning/10000000008.png
10000000009;/wais-iv/picture-reasoning/10000000009.png
10000000010;/wais-iv/picture-reasoning/10000000010.png
10000000011;/wais-iv/picture-reasoning/10000000011.png
10000000012;/wais-iv/picture-reasoning/10000000012.png
10000000013;/wais-iv/picture-reasoning/10000000013.png
10000000014;/wais-iv/picture-reasoning/10000000014.png
10000000015;/wais-iv/picture-reasoning/10000000015.png
10000000016;/wais-iv/picture-reasoning/10000000016.png
10000000017;/wais-iv/picture-reasoning/10000000017.png
10000000018;/wais-iv/picture-reasoning/10000000018.png
10000000019;/wais-iv/picture-reasoning/10000000019.png
10000000020;/wais-iv/picture-reasoning/10000000020.png
