id;context_id;option_image_urls;correct_answer

1000000001;1000000001;https://static.psychology.ml/barrett-test/3d/1000000001/option-a1.jpg,https://static.psychology.ml/barrett-test/3d/1000000001/option-a2.jpg,https://static.psychology.ml/barrett-test/3d/1000000001/option-a3.jpg,https://static.psychology.ml/barrett-test/3d/1000000001/option-a4.jpg,https://static.psychology.ml/barrett-test/3d/1000000001/option-a5.jpg;3
1000000002;1000000001;https://static.psychology.ml/barrett-test/3d/1000000001/option-b1.jpg,https://static.psychology.ml/barrett-test/3d/1000000001/option-b2.jpg,https://static.psychology.ml/barrett-test/3d/1000000001/option-b3.jpg,https://static.psychology.ml/barrett-test/3d/1000000001/option-b4.jpg,https://static.psychology.ml/barrett-test/3d/1000000001/option-b5.jpg;2
1000000003;1000000001;https://static.psychology.ml/barrett-test/3d/1000000001/option-c1.jpg,https://static.psychology.ml/barrett-test/3d/1000000001/option-c2.jpg,https://static.psychology.ml/barrett-test/3d/1000000001/option-c3.jpg,https://static.psychology.ml/barrett-test/3d/1000000001/option-c4.jpg,https://static.psychology.ml/barrett-test/3d/1000000001/option-c5.jpg;4

1000000004;1000000002;https://static.psychology.ml/barrett-test/3d/1000000002/option-a1.jpg,https://static.psychology.ml/barrett-test/3d/1000000002/option-a2.jpg,https://static.psychology.ml/barrett-test/3d/1000000002/option-a3.jpg,https://static.psychology.ml/barrett-test/3d/1000000002/option-a4.jpg,https://static.psychology.ml/barrett-test/3d/1000000002/option-a5.jpg;4
1000000005;1000000002;https://static.psychology.ml/barrett-test/3d/1000000002/option-b1.jpg,https://static.psychology.ml/barrett-test/3d/1000000002/option-b2.jpg,https://static.psychology.ml/barrett-test/3d/1000000002/option-b3.jpg,https://static.psychology.ml/barrett-test/3d/1000000002/option-b4.jpg,https://static.psychology.ml/barrett-test/3d/1000000002/option-b5.jpg;1
1000000006;1000000002;https://static.psychology.ml/barrett-test/3d/1000000002/option-c1.jpg,https://static.psychology.ml/barrett-test/3d/1000000002/option-c2.jpg,https://static.psychology.ml/barrett-test/3d/1000000002/option-c3.jpg,https://static.psychology.ml/barrett-test/3d/1000000002/option-c4.jpg,https://static.psychology.ml/barrett-test/3d/1000000002/option-c5.jpg;5

1000000007;1000000003;https://static.psychology.ml/barrett-test/3d/1000000003/option-a1.jpg,https://static.psychology.ml/barrett-test/3d/1000000003/option-a2.jpg,https://static.psychology.ml/barrett-test/3d/1000000003/option-a3.jpg,https://static.psychology.ml/barrett-test/3d/1000000003/option-a4.jpg,https://static.psychology.ml/barrett-test/3d/1000000003/option-a5.jpg;4
