id;image_url

1000000001;https://static.psychology.ml/barrett-test/3d/1000000001/question.jpg
1000000002;https://static.psychology.ml/barrett-test/3d/1000000002/question.jpg
1000000003;https://static.psychology.ml/barrett-test/3d/1000000003/question.jpg
1000000004;https://static.psychology.ml/barrett-test/3d/1000000004/question.jpg
1000000005;https://static.psychology.ml/barrett-test/3d/1000000005/question.jpg
1000000006;https://static.psychology.ml/barrett-test/3d/1000000006/question.jpg
1000000007;https://static.psychology.ml/barrett-test/3d/1000000007/question.jpg
1000000008;https://static.psychology.ml/barrett-test/3d/1000000008/question.jpg
1000000009;https://static.psychology.ml/barrett-test/3d/1000000009/question.jpg
1000000010;https://static.psychology.ml/barrett-test/3d/1000000010/question.jpg
