id;context_id;image_url;correct_answer

1000000001;1000000001;https://static.psychology.ml/barrett-test/visual-reasoning/1000000001/option-1.jpg;2
1000000002;1000000001;https://static.psychology.ml/barrett-test/visual-reasoning/1000000001/option-2.jpg;2
1000000003;1000000001;https://static.psychology.ml/barrett-test/visual-reasoning/1000000001/option-3.jpg;1
1000000004;1000000001;https://static.psychology.ml/barrett-test/visual-reasoning/1000000001/option-4.jpg;1
1000000005;1000000001;https://static.psychology.ml/barrett-test/visual-reasoning/1000000001/option-5.jpg;1
1000000006;1000000002;https://static.psychology.ml/barrett-test/visual-reasoning/1000000002/option-1.jpg;1
1000000007;1000000002;https://static.psychology.ml/barrett-test/visual-reasoning/1000000002/option-2.jpg;2
1000000008;1000000002;https://static.psychology.ml/barrett-test/visual-reasoning/1000000002/option-3.jpg;2
1000000009;1000000002;https://static.psychology.ml/barrett-test/visual-reasoning/1000000002/option-4.jpg;1
1000000010;1000000002;https://static.psychology.ml/barrett-test/visual-reasoning/1000000002/option-5.jpg;2
1000000011;1000000003;https://static.psychology.ml/barrett-test/visual-reasoning/1000000003/option-1.jpg;1
1000000012;1000000003;https://static.psychology.ml/barrett-test/visual-reasoning/1000000003/option-2.jpg;2
1000000013;1000000003;https://static.psychology.ml/barrett-test/visual-reasoning/1000000003/option-3.jpg;2
1000000014;1000000003;https://static.psychology.ml/barrett-test/visual-reasoning/1000000003/option-4.jpg;1
1000000015;1000000003;https://static.psychology.ml/barrett-test/visual-reasoning/1000000003/option-5.jpg;2
1000000016;1000000004;https://static.psychology.ml/barrett-test/visual-reasoning/1000000004/option-1.jpg;2
1000000017;1000000004;https://static.psychology.ml/barrett-test/visual-reasoning/1000000004/option-2.jpg;1
1000000018;1000000004;https://static.psychology.ml/barrett-test/visual-reasoning/1000000004/option-3.jpg;1
1000000019;1000000004;https://static.psychology.ml/barrett-test/visual-reasoning/1000000004/option-4.jpg;1
1000000020;1000000004;https://static.psychology.ml/barrett-test/visual-reasoning/1000000004/option-5.jpg;1
1000000021;1000000005;https://static.psychology.ml/barrett-test/visual-reasoning/1000000005/option-1.jpg;1
1000000022;1000000005;https://static.psychology.ml/barrett-test/visual-reasoning/1000000005/option-2.jpg;1
1000000023;1000000005;https://static.psychology.ml/barrett-test/visual-reasoning/1000000005/option-3.jpg;2
1000000024;1000000005;https://static.psychology.ml/barrett-test/visual-reasoning/1000000005/option-4.jpg;2
1000000025;1000000005;https://static.psychology.ml/barrett-test/visual-reasoning/1000000005/option-5.jpg;1
1000000026;1000000006;https://static.psychology.ml/barrett-test/visual-reasoning/1000000006/option-1.jpg;2
1000000027;1000000006;https://static.psychology.ml/barrett-test/visual-reasoning/1000000006/option-2.jpg;1
1000000028;1000000006;https://static.psychology.ml/barrett-test/visual-reasoning/1000000006/option-3.jpg;2
1000000029;1000000006;https://static.psychology.ml/barrett-test/visual-reasoning/1000000006/option-4.jpg;2
1000000030;1000000006;https://static.psychology.ml/barrett-test/visual-reasoning/1000000006/option-5.jpg;1
1000000031;1000000007;https://static.psychology.ml/barrett-test/visual-reasoning/1000000007/option-1.jpg;2
1000000032;1000000007;https://static.psychology.ml/barrett-test/visual-reasoning/1000000007/option-2.jpg;2
1000000033;1000000007;https://static.psychology.ml/barrett-test/visual-reasoning/1000000007/option-3.jpg;1
1000000034;1000000007;https://static.psychology.ml/barrett-test/visual-reasoning/1000000007/option-4.jpg;2
1000000035;1000000007;https://static.psychology.ml/barrett-test/visual-reasoning/1000000007/option-5.jpg;2
1000000036;1000000008;https://static.psychology.ml/barrett-test/visual-reasoning/1000000008/option-1.jpg;1
1000000037;1000000008;https://static.psychology.ml/barrett-test/visual-reasoning/1000000008/option-2.jpg;2
1000000038;1000000008;https://static.psychology.ml/barrett-test/visual-reasoning/1000000008/option-3.jpg;2
1000000039;1000000008;https://static.psychology.ml/barrett-test/visual-reasoning/1000000008/option-4.jpg;1
1000000040;1000000008;https://static.psychology.ml/barrett-test/visual-reasoning/1000000008/option-5.jpg;1
1000000041;1000000009;https://static.psychology.ml/barrett-test/visual-reasoning/1000000009/option-1.jpg;2
1000000042;1000000009;https://static.psychology.ml/barrett-test/visual-reasoning/1000000009/option-2.jpg;2
